,name,Year of release,Time duration,Rating of novie,Vote
116,Wooden Crosses,1932,115 min,7.8,"1,495"
117,Tarzan the Ape Man,1932,100 min,7,"7,657"
118,Scarface,1932,93 min,7.7,"28,299"
119,Vampyr,1932,75 min,7.4,"18,708"
120,"I Was Born, But...",1932,100 min,7.9,"5,674"
121,Horse Feathers,1932,68 min,7.5,"12,811"
122,Love Me Tonight,1932,104 min,7.6,"4,233"
123,One Way Passage,1932,67 min,7.5,"3,856"
124,Trouble in Paradise,1932,83 min,8,"14,927"
125,Fanny,1932,125 min,7.8,"1,777"
126,Poil de carotte,1932,91 min,7.5,679
127,I Am a Fugitive from a Chain Gang,1932,92 min,8.2,"13,413"
128,Boudu Saved from Drowning,1932,85 min,7.3,"5,845"
129,Island of Lost Souls,1932,70 min,7.4,"9,745"
130,Ecstasy,1933,82 min,6.6,"2,537"
131,42nd Street,1933,89 min,7.3,"12,159"
132,Playing at Love,1933,88 min,7.5,"1,462"
133,King Kong,1933,100 min,7.9,"86,051"
134,The Testament of Dr. Mabuse,1933,122 min,7.9,"12,768"
135,Gold Diggers of 1933,1933,97 min,7.7,"8,354"
136,Dinner at Eight,1933,111 min,7.5,"8,466"
137,Lady for a Day,1933,96 min,7.4,"4,284"
138,Wild Boys of the Road,1933,68 min,7.5,"2,079"
139,Footlight Parade,1933,104 min,7.5,"5,594"
140,The Invisible Man,1933,71 min,7.6,"36,037"
141,Baby Face,1933,71 min,7.5,"7,175"
142,A Canção de Lisboa,1933,85 min,7.7,"1,462"
143,Duck Soup,1933,69 min,7.8,"60,394"
144,Counsellor at Law,1933,82 min,7.6,"1,290"
145,Design for Living,1933,91 min,7.4,"6,950"
146,Queen Christina,1933,99 min,7.5,"8,011"
147,Sons of the Desert,1933,68 min,7.5,"9,014"
148,Les Misérables,1934,281 min,8.4,"1,811"
149,It Happened One Night,1934,105 min,8.1,"104,387"
150,You're Telling Me!,1934,66 min,7.5,"1,093"
151,Tarzan and His Mate,1934,104 min,7.3,"5,235"
152,L'Atalante,1934,89 min,7.8,"16,176"
153,The Scarlet Empress,1934,104 min,7.5,"6,668"
154,The Thin Man,1934,91 min,7.9,"30,155"
155,The Count of Monte Cristo,1934,113 min,7.4,"2,901"
156,Masquerade in Vienna,1934,90 min,7.6,361
157,The Gay Divorcee,1934,107 min,7.4,"8,048"
158,Imitation of Life,1934,111 min,7.5,"4,911"
159,A Story of Floating Weeds,1934,86 min,7.7,"3,182"
160,Meseautó,1934,99 min,7.5,670
161,Shen nu,1934,85 min,7.7,"2,232"
162,The Good Fairy,1935,98 min,7.5,"1,481"
163,Ruggles of Red Gap,1935,90 min,7.6,"4,082"
164,Happiness,I 1935,95 min,7.4,"1,132"
165,The Triumph of the Will,1935,110 min,7.2,"17,459"
166,Les Misérables,1935,108 min,7.7,"3,629"
167,The Bride of Frankenstein,1935,75 min,7.8,"49,256"
168,The Informer,1935,91 min,7.4,"6,587"
169,The 39 Steps,1935,86 min,7.6,"57,513"
170,Sazen Tange and the Pot Worth a Million Ryo,1935,92 min,7.8,"1,095"
171,The Raven,1935,61 min,6.9,"5,855"
172,Man on the Flying Trapeze,1935,66 min,7.5,"1,232"
173,Top Hat,1935,101 min,7.7,"19,387"
174,Captain Blood,1935,119 min,7.7,"14,616"
175,A Tale of Two Cities,1935,128 min,7.8,"5,818"
176,Carnival in Flanders,1935,95 min,7.4,"1,328"
177,An Inn in Tokyo,1935,80 min,7.5,"1,510"
178,Mutiny on the Bounty,1935,132 min,7.7,"23,265"
179,A Night at the Opera,1935,96 min,7.8,"33,142"
180,The Crime of Monsieur Lange,1936,77 min,7.3,"3,464"
181,The Petrified Forest,1936,82 min,7.5,"14,047"
182,Modern Times,1936,87 min,8.5,"242,273"
183,The Story of Louis Pasteur,1936,86 min,7.3,"2,845"
184,Mr. Deeds Goes to Town,1936,115 min,7.8,"21,813"
185,Fury,1936,92 min,7.9,"12,777"
186,The Story of a Cheat,1936,81 min,7.6,"2,297"
187,Swing Time,1936,103 min,7.5,"13,833"
188,My Man Godfrey,1936,94 min,8,"24,141"
189,The Only Son,1936,87 min,7.7,"3,687"
190,La belle équipe,1936,100 min,7.5,"1,294"
191,Dodsworth,1936,101 min,7.8,"9,354"
192,Libeled Lady,1936,98 min,7.8,"8,153"
193,César,1936,168 min,7.6,"1,516"
194,The Lower Depths,1936,90 min,7.5,"3,352"
195,After the Thin Man,1936,112 min,7.6,"11,184"
196,Pépé le Moko,1937,94 min,7.7,"7,578"
197,The Good Earth,1937,138 min,7.5,"5,093"
198,Pietro wyzej,1937,90 min,7.6,339
199,Way Out West,1937,66 min,7.6,"8,485"
200,Shall We Dance,1937,109 min,7.5,"7,372"
201,Make Way for Tomorrow,1937,91 min,8.2,"8,638"
202,The Grand Illusion,1937,113 min,8.1,"36,896"
203,A Day at the Races,1937,111 min,7.5,"13,924"
204,Easy Living,1937,88 min,7.5,"3,624"
205,Lost Horizon,1937,132 min,7.6,"13,417"
206,Stella Dallas,1937,106 min,7.4,"5,675"
207,The Prisoner of Zenda,1937,101 min,7.6,"4,642"
208,Humanity and Paper Balloons,1937,86 min,7.7,"2,116"
209,Un carnet de bal,1937,144 min,7.4,840
210,"Oh, Mr. Porter!",1937,85 min,7.4,"1,761"
211,Stage Door,1937,92 min,7.7,"8,512"
212,It's Love I'm After,1937,90 min,7.4,"2,509"
213,The Awful Truth,1937,90 min,7.7,"19,830"
214,Snow White and the Seven Dwarfs,1937,83 min,7.6,"200,088"
215,Bringing Up Baby,1938,102 min,7.8,"61,955"
216,Jezebel,1938,104 min,7.4,"13,785"
217,Olympia Part Two: Festival of Beauty,1938,90 min,7.7,"4,071"
218,Olympia Part One: Festival of the Nations,1938,111 min,7.8,"4,907"
219,The Adventures of Robin Hood,1938,102 min,7.9,"51,446"
220,Port of Shadows,1938,91 min,7.7,"9,323"
221,Holiday,1938,95 min,7.7,"16,512"
222,Block-Heads,1938,57 min,7.5,"4,111"
223,Pygmalion,1938,89 min,7.8,"8,823"
224,You Can't Take It with You,1938,126 min,7.8,"26,103"
225,The Baker's Wife,1938,133 min,7.5,"2,141"
226,The Lady Vanishes,1938,96 min,7.8,"53,094"
227,Alexander Nevsky,1938,112 min,7.5,"11,533"
228,Angels with Dirty Faces,1938,97 min,7.9,"21,827"
229,Hotel du Nord,1938,83 min,7.6,"2,845"
230,A Christmas Carol,1938,69 min,7.5,"7,513"
231,The Dawn Patrol,1938,103 min,7.5,"3,156"
232,La Bête Humaine,1938,100 min,7.5,"7,878"
233,Stagecoach,1939,96 min,7.8,"49,476"
234,U pokladny stál...,1939,99 min,8.1,396
235,Midnight,1939,94 min,7.9,"5,210"
236,Wuthering Heights,1939,104 min,7.5,"18,386"
237,The Hound of the Baskervilles,1939,80 min,7.4,"10,695"
238,La fin du jour,1939,99 min,7.8,924
239,The Four Feathers,1939,129 min,7.5,"6,184"
240,Dark Victory,1939,104 min,7.5,"11,417"
241,Only Angels Have Wings,1939,121 min,7.6,"14,434"
242,"Goodbye, Mr. Chips",1939,114 min,7.9,"10,807"
243,Young Mr. Lincoln,1939,100 min,7.5,"8,494"
244,Le Jour Se Leve,1939,93 min,7.7,"7,777"
245,Bachelor Mother,1939,82 min,7.5,"4,147"
246,On Borrowed Time,1939,99 min,7.7,"2,012"
247,The Rules of the Game,1939,110 min,7.9,"29,286"
248,Beau Geste,1939,112 min,7.6,"6,184"
249,The Wizard of Oz,1939,102 min,8.1,"399,209"
250,The Old Maid,1939,95 min,7.5,"3,850"
251,The Women,1939,133 min,7.7,"14,039"
252,The Hunchback of Notre Dame,1939,117 min,7.8,"11,536"
253,The Adventures of Sherlock Holmes,1939,85 min,7.3,"6,908"
254,Christian,1939,95 min,7.8,425
255,The Story of the Last Chrysanthemum,1939,148 min,7.8,"3,875"
256,Mr. Smith Goes to Washington,1939,129 min,8.1,"116,042"
257,The Roaring Twenties,1939,106 min,7.9,"14,276"
258,Cesta do hlubin studákovy duse,1939,88 min,8,563
259,Ninotchka,1939,110 min,7.8,"21,317"
260,Eva tropí hlouposti,1939,85 min,8,330
261,Another Thin Man,1939,103 min,7.4,"7,518"
262,Destry Rides Again,1939,95 min,7.6,"11,752"
263,Gone with the Wind,1939,238 min,8.2,"315,558"
264,Gulliver's Travels,1939,76 min,6.6,"4,447"
265,Of Mice and Men,1939,106 min,7.9,"6,176"
266,Remember the Night,1940,94 min,7.6,"5,920"
267,The Shop Around the Corner,1940,99 min,8,"33,501"
268,His Girl Friday,1940,92 min,7.8,"59,167"
269,The Grapes of Wrath,1940,129 min,8.1,"93,658"
270,The Foundling,1940,68 min,7.6,732
271,Pinocchio,1940,88 min,7.5,"147,624"
272,Rebecca,1940,130 min,8.1,"137,685"
273,Waterloo Bridge,1940,108 min,7.7,"10,206"
274,The Mortal Storm,1940,100 min,7.7,"5,469"
275,The Sea Hawk,1940,127 min,7.6,"10,021"
276,You're Missing the Point,1940,112 min,8,"1,365"
277,The Great Dictator,1940,125 min,8.4,"223,976"
278,The Thief of Bagdad,1940,106 min,7.4,"13,458"
279,Fantasia,1940,125 min,7.7,"97,104"
280,The Letter,1940,95 min,7.6,"13,387"
281,The Philadelphia Story,1940,112 min,7.9,"69,732"
282,The Mark of Zorro,1940,94 min,7.5,"10,307"
283,High Sierra,1941,100 min,7.5,"17,557"
284,The Lady Eve,1941,94 min,7.7,"21,678"
285,Meet John Doe,1941,122 min,7.6,"13,763"
286,The Sea Wolf,1941,100 min,7.5,"3,981"
287,The Devil and Miss Jones,1941,92 min,7.6,"4,351"
288,Citizen Kane,1941,119 min,8.3,"441,597"
289,Sergeant York,1941,134 min,7.7,"18,561"
290,Here Comes Mr. Jordan,1941,94 min,7.6,"6,691"
291,The Little Foxes,1941,116 min,7.9,"12,084"
292,The Tyrant Father,1941,114 min,7.8,806
293,It Started with Eve,1941,90 min,7.6,"1,625"
294,The Maltese Falcon,1941,100 min,8,"159,105"
295,All That Money Can Buy,1941,107 min,7.6,"5,161"
296,Dumbo,1941,64 min,7.2,"132,748"
297,How Green Was My Valley,1941,118 min,7.7,"24,467"
298,Sullivan's Travels,1941,90 min,7.9,"26,582"
299,Ball of Fire,1941,111 min,7.7,"12,748"
300,The Man Who Came to Dinner,1942,112 min,7.5,"7,903"
301,The Courtyard of the Ballads,1942,121 min,7.8,"1,216"
302,Kings Row,1942,127 min,7.5,"4,523"
303,To Be or Not to Be,1942,99 min,8.2,"37,706"
304,There Was a Father,1942,94 min,7.6,"2,835"
305,This Gun for Hire,1942,81 min,7.4,"9,476"
306,Yankee Doodle Dandy,1942,126 min,7.6,"15,820"
307,Mrs. Miniver,1942,134 min,7.6,"18,000"
308,The Magnificent Ambersons,1942,88 min,7.6,"25,076"
309,The Pride of the Yankees,1942,128 min,7.6,"11,138"
310,Holiday Inn,1942,100 min,7.3,"15,445"
311,Bambi,1942,69 min,7.3,"143,823"
312,The Talk of the Town,1942,118 min,7.5,"8,444"
313,The Palm Beach Story,1942,88 min,7.5,"11,993"
314,"Now, Voyager",1942,117 min,7.9,"17,391"
315,Went the Day Well?,1942,92 min,7.5,"3,895"
316,Gentleman Jim,1942,104 min,7.6,"3,758"
317,Casablanca,1942,102 min,8.5,"569,882"
318,The Ox-Bow Incident,1942,75 min,8,"23,578"
319,Random Harvest,1942,126 min,7.9,"7,768"
320,Aniki Bóbó,1942,71 min,7.6,"1,759"
321,Shadow of a Doubt,1943,108 min,7.8,"66,072"
322,Arsenic and Old Lace,1944,118 min,7.9,"71,339"
323,O Costa do Castelo,1943,135 min,7.5,611
324,Hangmen Also Die!,1943,134 min,7.4,"5,668"
325,It Happened at the Inn,1943,96 min,7.5,973
326,Carnival of Sinners,1943,80 min,7.4,"1,600"
327,This Land Is Mine,1943,103 min,7.5,"3,395"
328,The More the Merrier,1943,104 min,7.7,"6,748"
329,Obsession,1943,140 min,7.6,"7,748"
330,The Life and Death of Colonel Blimp,1943,163 min,8,"15,020"
331,Romanze in Moll,1943,98 min,7.4,349
332,Heaven Can Wait,1943,112 min,7.4,"11,368"
333,So Proudly We Hail!,1943,126 min,7.5,"1,796"
334,Doña Bárbara,1943,125 min,7.4,350
335,Le Corbeau,1943,92 min,7.8,"10,133"
336,Day of Wrath,1943,110 min,8.1,"10,363"
337,Sahara,I 1943,97 min,7.5,"9,002"
338,The Song of Bernadette,1943,156 min,7.6,"7,053"
339,Jane Eyre,1943,97 min,7.5,"8,882"
340,Lifeboat,1944,97 min,7.6,"29,397"
341,The Miracle of Morgan's Creek,1944,98 min,7.6,"7,553"
342,The Punch Bowl,1944,97 min,7.7,"6,198"
343,Phantom Lady,1944,87 min,7.2,"5,080"
344,The Fighting Sullivans,1944,112 min,7.5,"2,235"
345,Double Indemnity,1944,107 min,8.3,"157,613"
346,Applause,1944,78 min,7.5,94
347,Gaslight,1944,114 min,7.8,"29,650"
348,A Canterbury Tale,1944,124 min,7.4,"5,956"
349,Mr. Skeffington,1944,146 min,7.6,"6,149"
350,Since You Went Away,1944,177 min,7.5,"4,668"
351,Hail the Conquering Hero,1944,101 min,7.6,"4,767"
352,Marriage,1944,64 min,8.1,337
353,The Seventh Cross,1944,112 min,7.4,"2,772"
354,Laura,1944,88 min,7.9,"47,848"
355,To Have and Have Not,1944,100 min,7.8,"35,138"
356,The Woman in the Window,1944,107 min,7.6,"16,327"
357,The Children Are Watching Us,1943,84 min,7.7,"2,810"
358,Meet Me in St. Louis,1944,113 min,7.5,"24,627"
359,Henry V,1944,137 min,7,"6,565"
360,"Murder, My Sweet",1944,95 min,7.5,"13,712"
361,The Suspect,1944,85 min,7.4,"2,436"
362,"Ivan the Terrible, Part I",1944,95 min,7.7,"10,159"
363,Hangover Square,1945,77 min,7.4,"3,259"
364,The Body Snatcher,1945,78 min,7.3,"9,431"
365,The Enchanted Cottage,1945,91 min,7.5,"3,201"
366,A Tree Grows in Brooklyn,1945,129 min,8,"7,904"
367,The Picture of Dorian Gray,1945,110 min,7.5,"13,437"
368,Children of Paradise,1945,189 min,8.3,"20,061"
369,The Clock,1945,90 min,7.3,"3,728"
370,Christmas in Connecticut,1945,101 min,7.4,"9,875"
371,State Fair,1945,100 min,7,"4,201"
372,Our Vines Have Tender Grapes,1945,105 min,7.6,"2,084"
373,Dead of Night,1945,77 min,7.6,"13,033"
374,"Rome, Open City",1945,103 min,8,"26,856"
375,Mildred Pierce,1945,111 min,7.9,"26,251"
376,The Lost Weekend,1945,101 min,7.9,"37,537"
377,Spellbound,1945,111 min,7.5,"49,053"
378,And Then There Were None,1945,97 min,7.4,"15,220"
379,I Know Where I'm Going!,1945,92 min,7.5,"8,927"
380,Brief Encounter,1945,86 min,8,"40,514"
381,Leave Her to Heaven,1945,110 min,7.6,"13,385"
382,Scarlet Street,1945,102 min,7.8,"17,146"
383,The Harvey Girls,1946,102 min,7,"4,394"
384,To Each His Own,1946,122 min,7.7,"2,811"
385,Gilda,1946,110 min,7.6,"32,630"
386,Nebesnyy tikhokhod,1946,83 min,7.4,400
387,Shoeshine,1946,87 min,8,"7,496"
388,The Postman Always Rings Twice,1946,113 min,7.4,"21,160"
389,Cluny Brown,1946,100 min,7.5,"3,721"
390,The Strange Love of Martha Ivers,1946,116 min,7.4,"10,077"
391,The Stranger,1946,95 min,7.3,"26,840"
392,The Time of Their Lives,1946,82 min,7.6,"3,438"
393,Notorious,1946,102 min,7.9,"101,658"
394,The Big Sleep,1946,114 min,7.9,"86,179"
395,The Killers,1946,103 min,7.7,"21,553"
396,Under the Bridges,1946,99 min,7.5,797
397,Paisan,1946,120 min,7.6,"8,691"
398,A Day in the Country,1946,40 min,7.5,"6,573"
399,Beauty and the Beast,1946,93 min,7.9,"26,674"
400,Panique,1946,99 min,7.9,"2,229"
401,Murderers Among Us,1946,85 min,7.4,"2,365"
402,My Darling Clementine,1946,97 min,7.7,"23,901"
403,Stairway to Heaven,1946,104 min,8,"22,250"
404,La otra,1946,98 min,7.5,435
405,The Best Years of Our Lives,1946,170 min,8.1,"64,924"
406,Great Expectations,1946,118 min,7.8,"24,687"
407,It's a Wonderful Life,1946,130 min,8.6,"453,738"
408,"Ditte, Child of Man",1946,99 min,7.6,411
409,Enamorada,1946,99 min,7.7,855
410,Odd Man Out,1947,116 min,7.7,"10,337"
411,It Happened on Fifth Avenue,1947,116 min,7.6,"5,097"
412,Monsieur Verdoux,1947,124 min,7.8,"17,776"
413,Black Narcissus,1947,101 min,7.7,"25,173"
414,Cinderella,1947,80 min,7.5,"1,257"
415,Record of a Tenement Gentleman,1947,72 min,7.7,"1,964"
416,The Ghost and Mrs. Muir,1947,104 min,7.8,"19,428"
